"洗衣机智能投放的地方关不紧，推到底卡住过半小时就有一条缝出来，正常吗
刚用一周不到",你好非常抱歉给您添麻烦了，请通过海尔服务报修由服务人员上门调整，谢谢
为什么我的问题不回复？,你好非常抱歉给您添麻烦了，请通过海尔服务报修或拨打4006999999由当地售后服务人员上门指导调试处理，谢谢
说明书,1
我需要你们的维修联系方式，谢谢！,"尊敬的用户您好，如您遇到了您自己处理不了的问题可通过海尔服务微信服务号或APP报修，紧急情况可致电海尔全国售后服务热线4006-999-999咨询，希望能帮到您。
"
为什么烧热了之后热凉水都不出呢,您好，请确认进水阀门是否打开。
防电墙指示灯亮了，有点漏电,您好，请通过海尔服务微信公众号或APP提报服务，让专业的售后人员上门处理，紧急情况可致电4006999999.
"海尔空调kfr_35gw/13baa21au1每小时耗电量是多少1.5p
的","是与空调设定的温度，使用的时间，房间面积及房间朝向等来测算耗电量
"
我想问一下我用遥控器关了电视后来又把电源拔了，在插上电源的时候电视打不开了怎么才能打开呀？,你好：抱歉给您添麻烦了！电视希望开主电源马上出图像，工厂调整项目中一种上电模式提醒，如需要来电上电，可以致电服务热线，人员上门把上电模式处于待机也可以的，日常有服务需求，建议你通过海尔服务微信号或APP快速维修等版块提报服务需求，紧急情况可致电4006999999
无氟空调制热一会就不运转了,"您好，冬季制热时，室外机达到化霜状态下，空调自动除霜，停止运行，大约需要15分钟左右后，空调会自动重新制热。请放心使用，如机器有特别异常情况，请通过首页快速维修进行报修，或拨打4006999999我们会安排专业的服务人员上门，谢谢。
"
电热水器一开就会跳闸,"您好！很抱歉给您添麻烦了！请通过海尔服务微信公众号或APP提报服务，让专业的维修人员上门排除故障，紧急情况可致电4006999999.
"
我洗衣机洗衣服时从一侧门子漏水,你好非常抱歉给您添麻烦了，导致此问题有很多种原因，请通过海尔服务报修或拨打4006999999由当地售后服务人员上门检测处理，谢谢
我家洗衣机上面显示E6而且别的键子都不好使谁能告诉我是怎么回事,您好，给您添麻烦了，这个问题原因有很多，具体请微信报修让服务人员上门检查，紧急情况请拨打客服4006999999，谢谢
刚买的冰箱开门的时候有卡的现象？怎么办？,尊敬的用户您好！给您添麻烦了，根据您描述的问题，由于不在现场，无法准确判定，建议您通过海尔服务微信服务号或APP报修，紧急情况可直接致电4006999999
去年双十一买的EB72BM2JD洗衣机，发现脱水衣物不是很干，比较湿。过滤网中的棉絮物总是湿湿的滴水，而且过滤网每次总是脱落，卡不住。这是什么问题？是否能来看一下？,你好非常抱歉给您添麻烦了，导致此问题有很多种原因，请通过海尔服务报修或拨打4006999999由当地售后服务人员上门检测处理，谢谢
"海尔空调35GW/05FFC23,制热29℃，开了一个小时，房间还不怎么热，怎么回事，房间14平方。希望尽快解决。",您好，这个是与房间朝向，房间的保温效果有关，请通过首页一键维修进行预约，我们会安排专业的服务人员上门，谢谢
为什么热水器开到75度它不会上面显示屏不会亮了水温度也到75度了,您好，不清楚您是什么型号，部分型号有屏幕保护功能，一段时间不操作会自动黑屏。
手机助手怎么连接电视,尊敬的用户您好！给您添麻烦了！您可以阅读一下详细的产品使用说明，按照里面标注的操作步骤与注意事项进行操作，如在使用过程中遇到您自己解决不了的问题，您可通过海尔服务微信服务号或APP报修，让专业人员给您调试或维修，紧急情况可直接致电4006999999，希望可以帮到您！
我买的是海尔滚筒洗衣机，安装的时候师傅极力推荐用他的架子。但是第一次洗衣服脱水时晃动的很厉害，和购买时试机的效果完全不一样。请问这和支架有关系吗？还是本身机器有问题？,你好非常抱歉给您添麻烦了，滚筒洗衣机我们不建议使用架子，建议您联系当地售后人员 上门推掉，谢谢
你好我想问一下洗衣机声音为什么这么大呢？,你好非常抱歉给您添麻烦了，1：洗衣机是否有售后人员上门安装，2：洗衣机运输包装固定螺丝是否拆下，3：洗衣机底角是否调平和锁紧，4：洗涤衣物是否过多和偏心不平衡导致，5：以上排除请通过海尔服务报修由当地售后服务人员上门检测处理，谢谢
海尔滚筒洗衣机右下角运行中出水.打开又取不下来看.平常又能取出来.这是什么情况,你好非常抱歉给您添麻烦了，导致此问题有很多种原因，请通过海尔服务报修或拨打4006999999由当地售后服务人员上门检测处理，谢谢
海尔滚筒洗衣机脱水噪音很大,您好，给您添麻烦了，这个可能是平衡问题，具体请微信报修让服务人员上门检查，谢谢
为什么我提交的订单没有同复？,你好非常抱歉给您添麻烦了，请通过海尔服务报修由当地售后服务人员上门指导处理，谢谢
洗衣机脱水好响，是什么问题,你好非常抱歉给您添麻烦了，1：洗衣机是否有售后人员上门安装，2：洗衣机运输包装固定螺丝是否拆下，3：洗衣机底角是否调平和锁紧，4：洗涤衣物是否过多和偏心不平衡导致，5：以上排除请通过海尔服务报修由当地售后服务人员上门检测处理，谢谢
滚筒洗衣机，一开始洗，排水管就不停排水，进水管的加水量跟不上，滚筒就干了，结果自动停机，再开，再重复以上故障。,"尊敬的用户您好，很抱歉给您添麻烦了，根据您描述的情况1.请检查排水管放置是否低于80CM或高于101CM或者（排水管应挂高80-101CM调整位置）2.请检查排水管管口插入下水道是否太深，形成虹吸现象，由于不在现场无法鉴定具体原因，建议通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，或者直接致电4006-999-999，希望可以帮到您！
"
18254436900我希望你们快点回复现在等着用,"尊敬的用户您好，您没有说明您具体是遇到了什么问题哦，如您遇到了您自己处理不了的问题可通过海尔服务微信服务号或APP报修，紧急情况可致电海尔全国售后服务热线4006-999-999咨询，希望我的回答能够帮到您。
"
冷藏室结冰最近出现的,"  尊敬的用户您好！给您添麻烦了！请检查冰箱门是否关严，是否频繁地开关冰箱门？或食品放置是不是过密？食品与食品之间一定要留有一定的空隙，这样冷藏室内的空气才能很好地对流，否则过密的食品阻碍了空气对流，使得冷藏室内不同地方温度差异较大，温控器不能及时感应到停机的温度，造成冷藏结冰，所以食品不要放置过密，由于不在现场，无法准确判定或调试，建议您 通过海尔服务微信服务号或APP报修，让专业人员给您调试或维修，紧急情况可直 接致电4006-999-999，希望可以帮到您！
"
洗衣机发出吱吱的响声不工作,"尊敬的用户您好！给您添麻烦了，请检查水压，进水阀是否脏堵，由于不在现场无法鉴定具体原因， 建议通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解 答，或者直接致电4006-999-999，希望可以帮到您！
"
总是洗到一半，老是反应E3,"尊敬的用户您好！给您添麻烦了！E3故障码表示海尔洗衣机脱水不平衡，您可以把衣服重新抖散开来再脱水，如果还是不能正常使用的话，由于不在现场无法鉴定具体原因，建议通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，或者直接致电4006-999-999希望我的回答可以帮到您！
"
安裝自偹花撒收費嗎？,您好，单独一个花洒不收费，若是高档字母花洒之类请联系卖方给予安装。
空调启动显示F3后不工作了。,"请通过首页快速维修进行报修，或拨打4006999999我们会安排专业的服务人员上门，谢谢。
"
电视系统卡顿，经常死机,您好：抱歉给您添麻烦了！请你手机或PAD试试网络是否卡顿，仍无改善，建议您通过海尔服务微信号或APP快速维修等版块提报服务需求，紧急情况可致电400699999966
空调外机在11楼外平台用固定吗？,您好，如平台有遮挡框，是不需要固定的。
脱水脱不了，出现E1的字样,你好非常抱歉给您添麻烦了，导致此问题有很多种原因，请通过海尔服务报修或拨打4006999999由当地售后服务人员上门检测处理，谢谢
自动洗衣机怎么按键不管用，自动选择，不受控制呀,你好非常抱歉给您添麻烦了，请长按电源键三秒关机后再开机即可，谢谢
洗衣机装洗衣粉怎么冲不下去,您好，给您造成麻烦深感抱歉，某些机型只能使用洗衣液，洗衣粉需要直接投入内筒，具体请微信报修让服务人员上门检查，谢谢
冰箱为什么会自动跳闸,尊敬的用户您好！给您添麻烦了，根据您描述的冰箱自动跳闸问题，由于不在现场无法准确判断，建议您通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，紧急情况可直接致电4006999999
1.5匹变频空调长时间开一小时多少电,您好，室外环境温度和室内环境温度，每天随时都在变化温度，可能空调的运行时间长短受室内室外环境温度的高低，房间面积，房屋的保温效果，房屋的朝向会受到一些影响，耗电会有差异的。说明书中的技术参数，是在实验室标准工况检测的数据，仅作参考，实际耗电量要偏大，因我们使用的条件不具备实验室的标准，会有差异，请放心使用，谢谢。
我要搬家热水器里面的水怎么放干,您好，搬家需要移机热水器，建议联系海尔专业售后人员上门给予移机，保证拆装效果。
我家3月买的热水器《ES50和-J1（E）》，我没看明白说明书，没找到怎么给热水器上水……,尊敬的用户您好，给您添麻烦了，一般热水器安装好之后，连接上水管拧开进水阀就可以进水了呢，由于不在现场，建议您致电4006-999-999咨询一下，让客服指导您操作，希望可以帮到您！
冷冻的们关不住，怎么回事,尊敬的用户您好！给您添麻烦了！根据您反馈的问题，由于不在现场，无法准确判定或调试，建议您通过海尔服务微信服务号或APP报修，让专业人员给您调试或维修，紧急情况可直接致电4006999999
燃气热水器为什么在水管不打开使用的时候也会自动开启燃气加热？是哪里出了问题,"您好！很抱歉给您添麻烦了！请通过海尔服务微信公众号或APP提报服务，让专业的维修人员上门排除故障，紧急情况可致电4006999999.
"
滚桶洗衣机有时轰不干？,你好非常抱歉给您添麻烦了，滚筒洗衣机有一个偏心保护功能，如果衣物偏心机器为了避免振动大，会自动保护不运行高速脱水，直到桶内衣物平衡均匀后再脱水，详细信息参考说明书给用户耐心指导：1：滚筒洗衣机脱水时离心方式与波轮洗衣机完全不同（因单件衣物脱水衣物距离离心力轴心），2：举例双桶洗衣机和波轮全自动洗衣机如衣物偏心不平衡会出现振动大撞桶问题，而滚筒洗衣机的偏心保护就是为了更好的保护洗衣机避免震动大设计的，3：目前市面上所有滚筒洗衣机都具备偏心保护功能。
老是更新，每天打开电视就弹出更新就不动了,尊敬的用户您好，给您添麻烦了，根据您描述的情况建议您根据提示更新一下系统试一下，或者参考说明书看一下，由于不在现场无法鉴定具体原因，建议通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，或者直接致电4006-999-999，希望可以帮到您！
波轮洗衣机洗衣服时 里面的桶摇摆的太厉害，脱水也是,您好，给您造成麻烦深感抱歉，这个可能是平衡问题，具体请微信报修让服务人员上门检查，谢谢
洗衣机移机报装要收费吗,你好非常抱歉给您添麻烦了请通过海尔服务报修或拨打4006999999由当地售后服务人员上门检测处理，谢谢
不能看直播电视,"尊敬的用户您好，很抱歉给您添麻烦了，""电视不能播放视频原因：因14年10月份陆续广电局禁止了直播，包括播放软件和网页的浏览，都需要有授权的才可以播放和，如果需要播放可以下载有授权的软件到电视上面。电视直播软件可以下载VST、小鹰直播、电视猫等，若电视应用商店里面自带的软件都下载不了，可以外接U盘下载""紧急情况可以直接致电4006-999-999，希望能帮到您。
"
净水机，的水 泵开关，有什么作用？请求指教,你好，感谢使用海尔净水器。水泵的开关是保护水泵作用的。
滚筒洗衣机，总是提醒清理排水过滤器，已经清洗了过滤器，仍然报警，无法取消报警，无法进入主系统选择其他程序！请帮忙解答，售后无法解决，需要技术支持经理解决！,你好，请联系当地售后，谢谢
排水端为什么要高于80cm,你好，请参考说明书使用，谢谢
洗衣机还有其他说明说么！洗衣服没完成，断电后不需要用原来的模式怎么搞,你好非常抱歉给您添麻烦了，导致此问题有很多种原因，请通过海尔服务报修或拨打4006999999由当地售后服务人员上门检测处理，谢谢
净水机不出水了,不好意思给你添麻烦了，造成的原因可能是机器滤芯使用寿命到了，导致过滤水的能力变弱，出水量减少了。建议你拨打我们全国服务热线：4009999999，让我们服务工程师上门检修一下。
海尔空调RFC125MXSAVA(G)故障代码E06什么意思,
洗衣机显示器里有水,你好非常抱歉给您添麻烦了，导致此问题有很多种原因，请通过海尔服务报修或拨打4006999999由当地售后服务人员上门检测处理，谢谢
海尔热水器接通电源没有热水啊，新机器第一次使用,您好，接通电源后，请确认是否开机，确认设定温度，确认加热模式是否在正常加热模式下，是否加热完成。使用时保证热水器进水阀门处于打开状态，热水器内的热水靠进水压力压出。
"型号:LE32AL88U51
LE32AL88G31Z
电视机可以看3D电影吗？",你好：抱歉给您添麻烦了！根据你所描述的机型是不带3D功能的，请在确认一下后铭牌的机型，要收看3D节目，首先是机型是3D屏，其次3D眼镜要有且能正常使用，最后3D片源要有缺一不可。日常有服务需求，建议您通过海尔服务微信号或APP快速维修等版块提报服务需求，紧急情况可致电4006999999
洗衣机不下洗衣液,
冰箱里面的塑料抽屉坏了，有配件没有？,"尊敬的用户您好！给您添麻烦了！可以更换，建议您通过海尔服务微信服务号或APP报修，让售后人员给您更换，紧急情况可直接致电4006999999
"
滚筒洗衣机漏水,你好非常抱歉给您添麻烦了，请尽快通过海尔服务报修由服务人员上门指导和调速，谢谢
我的洗衣机为什么用的自动添加柔顺剂确出不来柔顺剂？维修人员上门服务换了一个感应器确还不行为什么？,你好非常抱歉给您添麻烦了，因为目前市场上的柔顺剂浓度太高导致，请将柔顺剂稀释一下试试看，或请通过海尔服务报修由当地售后人员上门检查处理，谢谢
冰箱中间的那层结冰，应该怎样处理,尊敬的用户您好！给您添麻烦了！请检查冰箱门是否关严，是否频繁地开关冰箱门？或食品放置是不是过密？食品与食品之间一定要留有一定的空隙，这样冷藏室内的空气才能很好地对流，否则过密的食品阻碍了空气对流，使得冷藏室内不同地方温度差异较大，温控器不能及时感应到停机的温度，造成冷藏结冰，所以食品不要放置过密，由于不在现场，无法准确判定或调试，建议您通过海尔服务微信服务号或APP报修，让专业人员给您调试或维修，紧急情况可直接致电4006999999，希望可以帮到您！
冰箱最近下层老结冰，清理一次之后不久还结冰,"尊敬的用户您好，很抱歉给您添麻烦了，根据您描述的情况建议您看一下是不是冰箱门没有关好或者门封条松动了，导致外面空气进入造成结冰，由于不在现场无法鉴定具体原因，建议通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，或者直接致电4006-999-999，希望可以帮到您！
"
海尔全自动洗衣机单脱水时间能调么,某些机型能调整，某些不行
为什么我的问题不回复？,你好非常抱歉给您添麻烦了，请通过海尔服务报修或拨打4006999999由当地售后服务人员上门指导调试处理，谢谢
冰箱的压缩机偶尔会有报警声音是怎么回事？,尊敬的用户您好！压缩机没有蜂鸣器，是不会报警的；继电器在压缩机启动前会有哒的一声，但声音不大，也不会影响正常的休息，如声音连续或长时噪音，建议您通过海尔服务微信服务号或APP报
热水器一开热水速热就开始运转？以前是底到一定温度速热才开启.,尊敬的用户您好，给您添麻烦了，根据您描述的情况，由于不在现场无法鉴定具体原因，建议通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，或者直接致电4006-999-999，希望可以帮到您！
洗衣机声音不对劲,您好，给您添麻烦了，这个问题原因有很多，具体请微信报修让服务人员上门检查，紧急情况请拨打客服4006999999，谢谢
海尔锐行三匹空调为什么化霜频繁？大概三四十分钟化霜一次正常吗？,"您好，冬季制热时，流水是室外机达到化霜状态下，空调自动除霜，停止运行，大约需要15分钟左右后，空调会自动重新制热。请放心使用，如机器有特别异常情况，请通过首页快速维修进行报修，或拨打4006999999我们会安排专业的服务人员上门，谢谢。
"
噪音大什么问题,尊敬的用户您好！给您添麻烦了！根据您反馈的噪音问题，由于不在现场，无法准确判定或调试，建议您通过海尔服务微信服务号或APP报修，让专业人员给您调试或维修，紧急情况可直接致电4006999999
滚筒洗衣机脱水的时候声音像飞机起飞的声音是怎么回事？,"尊敬的用户您好！给您添麻烦了！根据您反映的问题可能是由于里面脱水的物件不均匀，出现了旋转不匀称，所以噪音大，建议重新调整一下物件，使之均匀，这样就会缩小声音了，由于不在现场无法准确判定或调试，建议您也可以通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，或者直接致电4006999999，希望可以帮到您！
"
空调老是不会制冷去年新专的,尊敬的用户您好！给您添麻烦了！根据您反馈的冰箱不制冷问题，由于不在现场，无法准确判定或调试，建议您通过海尔服务微信服务号或APP报修，让专业人员给您调试或维修，紧急情况可直接致电4006999999，希望可以帮到您！
急急急急急！你好，洗衣机刚买没多久，洗涤第一遍后脱水不了，老是转几下又方水，单单用脱水又是可以的，不知道这个是什么情况啊。,你好非常抱歉给您添麻烦了，滚筒洗衣机有一个偏心保护功能，如果衣物偏心机器为了避免振动大，会自动保护不运行高速脱水，直到桶内衣物平衡均匀后再脱水，详细信息参考说明书给用户耐心指导：1：滚筒洗衣机脱水时离心方式与波轮洗衣机完全不同（因单件衣物脱水衣物距离离心力轴心），2：举例双桶洗衣机和波轮全自动洗衣机如衣物偏心不平衡会出现振动大撞桶问题，而滚筒洗衣机的偏心保护就是为了更好的保护洗衣机避免震动大设计的，3：目前市面上所有滚筒洗衣机都具备偏心保护功能。或请通过海尔服务报修由当地售后人员上门指导处理，谢谢
智能投放洗衣液的洗衣机，洗一半打开一看怎么没有洗衣液？,您好，给您造成麻烦深感抱歉，这个可能是前期洗衣液放多了，太粘稠冲不下去了，具体请微信报修让服务人员上门检查，谢谢
海尔4k电视看的时候画面转换中有小长条转换不过来是怎么回事,
海尔液晶电视开不开机？指示灯不亮？,尊敬的用户您好，给您添麻烦了，根据您描述的情况建议您看一下电源是否插好，由于不在现场无法鉴定具体原因，建议通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，或者直接致电4006-999-999，希望可以帮到您！
刚到的洗衣机不能用什么情况,"您好，这个原因有很多，具体还得服务人员上门检查，请直接微信报修，谢谢
"
电视没有彩色，变成黑白，怎么调整？,您好:抱歉给您添麻烦了！请你先调整一下图像菜单中色度项目，如这块调整无问题，检查一下所连接的信号源到电视连接线是否对应连接线，嫁入DVD色差线连接错误会出现黑白情况，仍未有改善，建议您通过海尔服务微信号或APP快速维修等版块提报服务需求，紧急情况可致电4006999999
我买的滚筒洗衣机出现E8是什么意思？,你好非常抱歉给您添麻烦了，导致此问题有很多种原因，请通过海尔服务报修或拨打4006999999由当地售后服务人员上门检测处理，谢谢
冰箱嘎嘣噶嘣响是什么原因,尊敬的用户您好！给您添麻烦了！根据您反馈的问题，由于不在现场，无法准确判定或调试，建议您通过海尔服务微信服务号或APP报修，让专业人员给您调试或维修，紧急情况可直接致电4006999999，希望可以帮到您！
温度怎么调成省电的,尊敬的用户您好，给您添麻烦了，一般冷藏室温度在4-11度就可以，冷冻室在-18到-28之间，由于不在现场无法指导您操作，您可以参考说明书操作一下选择您想要的模式，或者扫描机身二维码联系我们的在线客服指导您一下，紧急情况直接致电4006-999-999，希望能帮到您。
海尔冰箱，投诉一次多少钱？15835139676速度与我联系,尊敬的用户您好，给您添 麻烦了，我这边暂时没法给您回电话，只能是在线回答您的问题，您有什么问题可以致电4006-999-999反映一下，希望能帮到您。
全自动洗衣机不能脱水,您好，给您添麻烦了，这个问题原因有很多，具体请微信报修让服务人员上门检查，紧急情况请拨打客服4006999999，谢谢
滚筒洗衣机怎么终止程序运行,"尊敬的用户您好！给您添麻烦了！洗涤过程中，在安全情况下（水位不高于观察窗，筒内温度不高于50度），按洗衣机的“启动暂停”按键即可暂停，希望我的回答能够帮到您o(∩_∩)o…
"
刚买的海尔电视喇叭怎么有渣音呢？,您好：抱歉给您添麻烦了！请你换个节目或信号源观察，也可以拷贝MP3音乐插在电视USB端口上再试试，仍无改善，建议您通过海尔服务微信号或APP快速维修等版块提报服务需求，紧急情况可致电4006999999
空调外机噪声大，时好时坏，同等产品比格力差，当然便宜了几百块，维修的师傅来的时候没什么，晚上开的时候就又吵了，这个问题我无力吐槽了，老家的两台格力一点问题没有用了五年！,"尊敬的用户您好！给您添麻烦了！请您检查一下是否外机盖螺丝没拧紧导致部件松动，压缩机在盖内产生的共鸣。由于不在现场，无法准确判定或调试，建议您通过海尔服务微信服务号或APP报修，让专业人员给您调试或维修，紧急情况可直接致电4006999999，希望可以帮到您！
"
双开门大冰箱设置成智能模式，一直有声音吗？,尊敬的用户您好！给您添麻烦了！根据您反馈的问题，由于不在现场，无法准确判定或调试，建议您通过海尔服务微信服务号或APP报修，让专业人员给您调试或维修，紧急情况可直接致电4006999999
新买的海尔波轮洗衣机，进水时电机声音很大啥原因？还有就是脱完水一下就站住啦啥原因？,你好非常抱歉给您添麻烦了，导致此问题有很多种原因，请通过海尔服务报修或拨打4006999999由当地售后服务人员上门检测处理，谢谢
海尔滚筒XQG70BS1228A开始健总闪提示RUE0是怎么回事,你好非常抱歉给您添麻烦了，这个因为单词代表：自动的意思，详细信息请通过海尔服务报修有当地售后人员指导调试，谢谢
为什么我电视刚拿去修了半个月才拿回来，为什么放了一个晚上又坏了比原来还历害？？？,你好：抱歉给您添麻烦了！根据您提供的信息，建议留个联系方式专人与电话沟通一下目前情况，日常服务有需求，建议您通过海尔服务微信号或APP快速维修等版块提报服务需求。紧急情况可致电4006999999
G80718B12S型号的滚筒洗衣机可以调整水位的高度吗,尊敬的用户您好！给您添麻烦了！您可以阅读一下详细的产品使用说明，按照里面标注的操作步骤与注意事项进行操作，由于不在现场无法准确判断您的问题，如在使用过程中遇到您自己解决不了的问题，您可通过海尔服务微信服务号或APP报修，让专业人员给您调试或维修，紧急情况可直接致电4006999999，希望可以帮到您！
我想问，挂式空调运行灯和电源灯一直亮是怎么回事，怎么修，大概多少钱，我打400上门维修，两天了至今没有来。,您好，电源灯是指示空调通电状态，运行灯是压缩机正在工作，属于正常，请放心使用
我家洗衣机甩干时动静特别大，特别响，怎么回事啊,没有调整好平衡，或者衣物分散不均匀，具体请微信报修让服务人员上门检查，谢谢
全自动洗衣机脱水脱到一半是怎么回事,你好非常抱歉给您添麻烦了，滚筒洗衣机有一个偏心保护功能，如果衣物偏心机器为了避免振动大，会自动保护不运行高速脱水，直到桶内衣物平衡均匀后再脱水，详细信息参考说明书给用户耐心指导：1：滚筒洗衣机脱水时离心方式与波轮洗衣机完全不同（因单件衣物脱水衣物距离离心力轴心），2：举例双桶洗衣机和波轮全自动洗衣机如衣物偏心不平衡会出现振动大撞桶问题，而滚筒洗衣机的偏心保护就是为了更好的保护洗衣机避免震动大设计的，3：目前市面上所有滚筒洗衣机都具备偏心保护功能。或请通过海尔服务报修由当地售后人员上门指导处理，谢谢
我家冰箱坏了不是海尔品牌可以报修吗？,尊敬的用户您好，不是我们海尔的没法给您报修呢，不好意思。您可以去当地您这个冰箱牌子售后问一下。
5月19号买的洗衣机，5月21号安装的，刚刚用一次，也不知道什么时候洗好的，也没提示音。郁闷啊,尊敬的用户您好！给您添麻烦了！请您检查一下当前功能模式是否设置正确，由于不在现场，无法准确判定或调试，建议您通过海尔服务微信服务号或APP报修，让专业人员给您上门调试或维修，紧急情况可直接致电4006999999，希望可以帮到您！
去年买的海尔的净水器，还带有一个压力桶的，我想问一下这个如何保养或者需要多久更换过滤,您好！净水机需要定期的保养，具体更换周期跟用水量有关，一般家庭用户，建议按如下周期进行更换滤芯，第一级6个月，二、三、五级滤芯12个月，第四级RO膜滤芯24-36个月。 您也可参考说明书说明进行保养，如需服务，您可以拨打4009999999，由服务工程师上门处理
电热水器烧了半小时为什么不热？上水出水都正常，面板显示正常工作,你好，距离说明加热时间，一般60L热水器，2000W功率加热，从15度加热至75度，大约需要2.1小时。
冰箱老是结冰拉不开抽届门怎么弄,尊敬的用户您好！给您添麻烦了，根据您描述的冰箱结冰问题，建议您1、将温度调高一些；2、检查门封是否有闪缝、变形现象；3、定期除霜；如问题仍不得改善，建议您通过海尔服务微信服务号或APP报修，紧急情况可直接致电4006999999
洗衣机用不起了,尊敬的用户您好，给您添麻烦了，不知道您具体遇到什么问题了，您可以通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，或者直接致电4006-999-999，希望可以帮到您！
你们可以来个人看看我家的洗衣服,尊敬的用户您好，您没有说明您具体是遇到了什么问题噢，有疑问您可以通过扫描机身二维码或打开海尔服务微信服务号联系在线客服，或者直接致电4006-999-999，希望可以帮到您！
请问洗衣机显示E4是什么问题,"尊敬的用户您好，很抱歉给您添麻烦了，根据您描述的情况错误代码e4是海尔洗衣机进水超时，检查水龙头是否打开，水压，进水阀是否脏堵
，如果还是不能正常使用的话，由于不在现场无法鉴定具体原因，建议通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，或者直接致电4006-999-999，希望可以帮到您！"
冰箱门冷凝剂不足咋办？,尊敬的用户您好！给您添麻烦了！根据您反馈的问题，由于不在现场，无法准确判定或调试，建议您通过海尔服务微信服务号或APP报修，让专业人员给您调试或维修，紧急情况可直接致电4006999999
我想问下热水器温度比如设定的是60度，温度到了后，在用水后，温度怎么达不到设定的60度了呢？,您好，加热到设定温度60度后，自动进入保温状态，温度下降至50度以下再次启动加热至设定温度。另外加热速度赶不上用水速度。
空气能会装止回阀吗，会装排污管吗，,进水管装安全阀或回止阀，排污管根据用户需求安装。
我家刚按的海尔空调吹一会热风就不吹了，里面还有生声音，请问这是怎么回事？请回复！,"您好，请通过首页一键维修进行报修，或拨打4006999999我们会安排专业的服务人员上门服务，谢谢。
"
热水器es60h-x5（e）操作器显示实时温度0度，无法加热,尊敬的用户您好，很抱歉给您添麻烦了，根据您描述的热水器无法加热的情况，由于不在现场无法鉴定具体原因，建议通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，或者直接致电4006-999-999，希望可以帮到您！
洗衣服时显示Ed?,抱歉给您添麻烦了！建议您通过海尔服务微信号或APP快速维修等版块提报服务需求。紧急情况可致电4006999999
